bit_high,gold_high
3692.12,1336.1
3675.2,1334.6
3748.88,1347.1
3724.3,1344.7
3704.37,1343
3695.28,1346
3685.39,1355.8
3799.62,1378
3754.65,1361.7
3599.83,1360.5
3635.69,1370.9
3631.15,1369.8
3616.33,1289.65
3607.43,1366.7
3676.4,1357.3
3605.99,1353.4
3567.56,1333.3
3463.2,1336.8
3488.91,1332.4
3499.78,1327.5
3478.55,1333.1
3519.14,1332.7
3514.43,1339
3470.8,1344
3447.88,1335.5
3459.33,1338.7
3406.54,1337.4
3735.1,1330.4
3673.71,1328.5
3689.32,1331.5
3688.59,1316.5
3648.67,1317.2
3655.89,1313.6
3619.7,1310.7
3640.65,1284.3
3639.75,1286.3
3706.17,1294
3952.44,1284
4010.91,1285.7
3992.31,1291.9
4026.54,1307.6
3996.15,1307.3
4192.39,1308.8
4221.62,1313.9
3885.06,1331.1
3852.66,1334.3
3851.84,1339.1
3909.86,1338.4
3866.12,1331.7
3846.38,1313.3
3853.28,1319.2
3831.01,1240.15
3893.52,1239.25
3916.29,1319.4
3911.76,1322.7
3932.02,1314.2
3975.25,1304.9
3948.21,1304.9
3941.99,1319
3904.7,1315.4
3898.25,1323.9
3922.21,1314.1
3935.1,1313.3
4069.11,1302.2
4030.38,1300.6
4038.99,1291
4032.04,1291.8
4064.95,1276.4
4082.29,1271.7
4018.21,1275.1
4019.36,1281.1
4010.3,1299.6
4005.29,1298.9
3943.2,1289.2
4054.32,1284
4046.44,1295.7
4122.89,1297.4
4146.88,1208.45
4129.43,1205.05
4164.33,1281.3
5104.42,1283.3
5335.7,1280
5071.98,1268.5
5074.13,1262.8
5240.19,1256
5266.04,1262.1
5347.88,1247.1
5294.09,1234
5460.94,1153.25
5343.66,1239
5118.61,1241.2
5128.96,1224
5186.82,1221.9
5195.31,1136.05
5232.03,1135
5270.76,1216.8
5317.78,1213.8
5353.01,1216.5
5366.6,1217
5348.59,1225.9
5444.76,1220.9
5626.83,1213.1
5633,1238.3
5521.61,1233.6
5361.94,1240.3
5282.97,1236
5313.7,1246.4
5299.51,1250.6
5372.23,1235
5417.17,1236.7
5531.15,1242.4
5891.9,1233.7
5901.36,1238.4
5849.5,1255.5
5823.67,1258.6
6031.54,1245.5
6032.25,1190.3
6194.91,1256.9
6444.57,1278
7394.94,1276.8
7541.61,1276.4
8127.75,1283.8
8297.02,1290.3
8263.29,1290.9
8352.25,1286.9
7930.98,1282.7
7491.67,1326.6
8281.66,1334
8193.14,1336.2
8102.32,1340.4
8033.76,1365.7
7971.26,1363.8
8165.45,1368
8140.82,1348
