Date,Price,Open,High,Low
"Jan 12, 2018",1425.7,1425.7,1425.7,1425.7
"Jan 11, 2018",1411.4,1411.4,1411.4,1411.4
"Jan 10, 2018",1408.3,1408.3,1408.3,1408.3
"Jan 09, 2018",1401.3,1398,1398,1398
"Jan 08, 2018",1407.4,1407.4,1407.4,1407.4
"Jan 05, 2018",1408.3,1408.3,1408.3,1408.3
"Jan 04, 2018",1407.3,1407.3,1407.3,1407.3
"Jan 03, 2018",1404,1399,1399,1399
"Jan 02, 2018",1400.1,1400.1,1400.1,1400.1
"Jan 01, 2018",1308.7,1305.8,1309.7,1304.6
"Dec 29, 2017",1391.9,1391.9,1391.9,1391.9
"Dec 28, 2017",1379.4,1372.1,1372.1,1372
"Dec 27, 2017",1372.3,1372.3,1372.3,1372.3
"Dec 26, 2017",1368.5,1368.5,1368.5,1368.5
"Dec 25, 2017",1277.9,1278.9,1279.5,1277.9
"Dec 22, 2017",1359.8,1353.7,1354.3,1353.7
"Dec 21, 2017",1351.3,1351.3,1351.3,1351.3
"Dec 20, 2017",1350.4,1350.4,1350.4,1350.4
"Dec 19, 2017",1344.8,1344.8,1344.8,1344.8
"Dec 18, 2017",1345.6,1345.6,1345.6,1345.6
"Dec 15, 2017",1337.4,1337.4,1337.4,1337.4
"Dec 14, 2017",1337.2,1342,1342,1334
"Dec 13, 2017",1328.7,1328.7,1328.7,1328.7
"Dec 12, 2017",1321.9,1321.9,1321.9,1321.9
"Dec 11, 2017",1326.8,1326.8,1326.8,1326.8
"Dec 08, 2017",1328.1,1330.5,1330.5,1330.5
"Dec 07, 2017",1333,1327.6,1327.6,1327.6
"Dec 06, 2017",1346.2,1346.2,1346.2,1346.2
"Dec 05, 2017",1345.1,1345.1,1345.1,1345.1
"Dec 04, 2017",1358,1358,1358,1358
"Dec 01, 2017",1362.8,1362.8,1362.8,1362.8
"Nov 30, 2017",1357.3,1357.3,1357.3,1357.3
"Nov 29, 2017",1366.4,1382,1382,1382
"Nov 28, 2017",1379,1379,1379,1379
"Nov 27, 2017",1378.7,1378.7,1378.7,1378.7
"Nov 24, 2017",1371.6,1371.6,1371.6,1371.6
"Nov 23, 2017",1291.66,1291.19,1293.87,1287.65
"Nov 22, 2017",1376.4,1376.4,1376.4,1376.4
"Nov 21, 2017",1364.8,1364.8,1364.8,1364.8
"Nov 20, 2017",1357.6,1357.6,1357.6,1357.6
"Nov 17, 2017",1378,1378,1378,1378
"Nov 16, 2017",1359.4,1359.4,1359.4,1359.4
"Nov 15, 2017",1358.7,1358.7,1358.7,1358.7
"Nov 14, 2017",1364.2,1364.2,1364.2,1364.2
"Nov 13, 2017",1360.4,1360.4,1360.4,1360.4
"Nov 10, 2017",1354.5,1354.5,1354.5,1354.5
"Nov 09, 2017",1366.8,1366.8,1366.8,1366.8
"Nov 08, 2017",1362.3,1362.3,1362.3,1362.3
"Nov 07, 2017",1353.9,1353.9,1353.9,1353.9
"Nov 06, 2017",1359.7,1359.7,1359.7,1359.7
"Nov 03, 2017",1346.9,1346.9,1346.9,1346.9
"Nov 02, 2017",1355.4,1355.4,1355.4,1355.4
"Nov 01, 2017",1354.6,1354.6,1354.6,1354.6
"Oct 31, 2017",1347.7,1347.7,1347.7,1347.7
"Oct 30, 2017",1354.9,1354.9,1354.9,1354.9
"Oct 27, 2017",1349.1,1351.7,1351.7,1351.7
"Oct 26, 2017",1346.5,1346.5,1346.5,1346.5
"Oct 25, 2017",1355.5,1355.5,1355.5,1355.5
"Oct 24, 2017",1354.2,1354.2,1354.2,1354.2
"Oct 23, 2017",1356.9,1356.9,1356.9,1356.9
"Oct 20, 2017",1356.2,1356.2,1356.2,1356.2
"Oct 19, 2017",1365.9,1365.9,1365.9,1365.9
"Oct 18, 2017",1359.3,1359.3,1359.3,1359.3
"Oct 17, 2017",1362.5,1362.5,1362.5,1362.5
"Oct 16, 2017",1379.7,1382,1382,1382
"Oct 13, 2017",1380.4,1372,1372,1372
"Oct 12, 2017",1372.3,1372.3,1372.3,1372.3
"Oct 11, 2017",1364.5,1364.5,1364.5,1364.5
"Oct 10, 2017",1369.4,1374.7,1374.7,1374.7
"Oct 09, 2017",1360.4,1362,1362,1362
"Oct 06, 2017",1350,1350,1350,1350
"Oct 05, 2017",1348.3,1348.3,1348.3,1348.3
"Oct 04, 2017",1351,1351,1351,1351
"Oct 03, 2017",1348.8,1353.3,1353.3,1353.3
"Oct 02, 2017",1350.1,1350.1,1350.1,1350.1
"Sep 29, 2017",1357.6,1357.6,1357.6,1357.6
"Sep 28, 2017",1361.3,1361.3,1361.3,1361.3
