_id,time,high,low,open,close
5f5c943ba9115d187c3c8c0b,1497139200,2977.86,2867.25,2900.25,2973.45
5f5c943ba9115d187c3c8c0c,1497225600,2985.06,2483.63,2973.45,2656.77
5f5c943ba9115d187c3c8c0d,1497312000,2784.77,2647.44,2656.77,2712.99
5f5c943ba9115d187c3c8c0e,1497398400,2803.72,2348.99,2712.99,2467.27
5f5c943ba9115d187c3c8c0f,1497484800,2521.6,2125.56,2467.27,2442.46
5f5c943ba9115d187c3c8c10,1497571200,2536.42,2335.28,2442.46,2508.58
5f5c943ba9115d187c3c8c11,1497657600,2690.71,2454.81,2508.58,2655.1
5f5c943ba9115d187c3c8c12,1497744000,2676.04,2488.59,2655.1,2539.56
5f5c943ba9115d187c3c8c13,1497830400,2617.75,2518.78,2539.56,2616.82
5f5c943ba9115d187c3c8c14,1497916800,2800.48,2613.98,2616.82,2754.38
5f5c943ba9115d187c3c8c15,1498003200,2804.41,2624.35,2754.38,2677.62
5f5c943ba9115d187c3c8c16,1498089600,2757.32,2623.17,2677.62,2722.84
5f5c943ba9115d187c3c8c17,1498176000,2759.66,2699.48,2722.84,2710.37
5f5c943ba9115d187c3c8c18,1498262400,2741.56,2540.35,2710.37,2590.05
5f5c943ba9115d187c3c8c19,1498348800,2660.66,2472.37,2590.05,2541.62
5f5c943ba9115d187c3c8c1a,1498435200,2584.75,2327.26,2541.62,2446.05
5f5c943ba9115d187c3c8c1b,1498521600,2585.06,2309.63,2446.05,2583.75
5f5c943ba9115d187c3c8c1c,1498608000,2616.95,2490.11,2583.75,2577.74
5f5c943ba9115d187c3c8c1d,1498694400,2605.86,2526.51,2577.74,2558.37
5f5c943ba9115d187c3c8c1e,1498780800,2576.28,2469.54,2558.37,2480.61
5f5c943ba9115d187c3c8c1f,1498867200,2529.62,2387.47,2480.61,2424.61
5f5c943ba9115d187c3c8c20,1498953600,2555.34,2375.86,2424.61,2536.46
5f5c943ba9115d187c3c8c21,1499040000,2617.48,2506.3,2536.46,2572.47
5f5c943ba9115d187c3c8c22,1499126400,2658.73,2569.99,2572.47,2617.32
